niche_id,peak_theta_deg,hpbw_deg,psll_db,worst_psll_db,holdout_worst_psll_db,taper_efficiency,active_count,phase_codes,attenuator_codes
16,-13.250723312105375,7.575034889545027,-19.17249352086667,-11.03793444815597,-10.381555062948127,0.9150179545632198,16,"9;16;23;31;38;46;53;60;0;10;18;26;33;40;48;55","13;12;10;7;5;2;1;0;0;1;0;5;7;19;12;13"
17,-0.028062306449494267,7.511958241183997,-21.428457357960774,-11.345476412951701,-11.343086795353422,0.9009313988119104,16,"0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0","13;12;10;7;6;3;1;0;0;1;0;6;10;19;12;19"
18,0,7.388192444677893,-21.55296232103187,-11.515141299709558,-11.515115253005078,0.9150179545632198,16,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","13;12;10;7;5;2;1;0;0;1;0;5;7;19;12;13"
19,13.426667438819754,7.566792819472623,-20.56563742130255,-11.141397772635795,-11.446839536657066,0.9196596991849918,16,"55;48;41;33;26;19;11;4;60;53;46;38;30;23;14;9","13;14;14;8;5;3;1;0;0;1;1;9;7;10;12;13"
26,-26.583599359673475,8.198517356759101,-19.80514399352832,-11.00135090028174,-10.948196029980465,0.935907072071759,16,"20;35;47;63;14;28;42;57;7;22;36;50;1;7;31;44","12;12;10;7;5;2;1;0;0;1;2;5;7;10;12;13"
27,-19.899660788373712,8.296304901970247,-22.10843316468742,-11.706481252468443,-11.706433078990688,0.8753071911951693,16,"46;57;4;15;26;37;48;59;5;16;27;38;49;60;7;18","19;17;14;11;6;3;1;0;0;1;3;8;10;14;17;19"
28,-16.65886333365491,8.139375887261966,-22.653371297985277,-11.941611768544423,-11.958977847376492,0.8779269095544542,16,"59;4;14;23;32;41;50;59;5;14;23;32;41;50;60;5","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19"
29,-6.773348154767444,7.817525823490346,-23.82912788697316,-11.672254591498284,-11.672254591498284,0.8827749226514562,16,"35;40;41;47;51;55;58;62;2;6;9;13;17;20;24;28","19;17;14;10;6;3;1;0;0;1;3;6;10;11;17;19"
30,0,7.811988762768697,-24.903918979716412,-12.116117053678908,-12.116117053678908,0.8761556268092399,16,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","20;17;14;10;6;3;0;0;1;1;3;6;10;14;17;19"
31,16.658863333655066,8.139375887261966,-22.65337129798528,-11.941611768544425,-11.958977847376492,0.8779269095544543,16,"5;60;50;41;32;23;14;5;59;50;41;32;23;14;4;59","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19"
