niche_id,grid_x,grid_y,quality_train,quality_validation,descriptor_peak_deg_train,descriptor_hpbw_deg_train,descriptor_peak_deg_validation,descriptor_hpbw_deg_validation,visit_count,retained_niche,decision_phase_codes,decision_attenuator_codes,constraint_robust_psll
16,4,1,0.28061008646762126,0.3026371558496452,-13.250723312105375,7.575034889545027,-13.102746705974885,7.559230024983462,20,1,"9;16;23;31;38;46;53;60;0;10;18;26;33;40;48;55","13;12;10;7;5;2;1;0;0;1;0;5;7;19;12;13",-1.0379344481559691
17,5,1,0.2708483407263374,0.27092286538956456,-0.028062306449494267,7.511958241183997,0.1179258508345606,7.5064320046676425,19,0,"0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0","13;12;10;7;6;3;1;0;0;1;0;6;10;19;12;19",-1.345476412951701
18,6,1,0.26560909067633204,0.2656098871695128,0,7.388192444677893,0.1452823497176795,7.387037928664945,29,1,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","13;12;10;7;5;2;1;0;0;1;0;5;7;19;12;13",-1.5151412997095584
19,7,1,0.2772873845348394,0.2677059495663045,13.426667438819754,7.566792819472623,13.577571681386297,7.57193684583139,16,1,"55;48;41;33;26;19;11;4;60;53;46;38;30;23;14;9","13;14;14;8;5;3;1;0;0;1;1;9;7;10;12;13",-1.141397772635795
26,2,2,0.281794462748735,0.28352424230604156,-26.583599359673475,8.198517356759101,-26.41955398324485,8.16670615871994,16,1,"20;35;47;63;14;28;42;57;7;22;36;50;1;7;31;44","12;12;10;7;5;2;1;0;0;1;2;5;7;10;12;13",-1.0013509002817393
27,3,2,0.2598220095198643,0.2598234505426066,-19.899660788373712,8.296304901970247,-19.743723346423053,8.291600851430186,15,1,"46;57;4;15;26;37;48;59;5;16;27;38;49;60;7;18","19;17;14;11;6;3;1;0;0;1;3;8;10;14;17;19",-1.7064812524684427
28,4,2,0.25288286991249753,0.25237777523382343,-16.65886333365491,8.139375887261966,-16.49855575589592,8.13287034779386,18,1,"59;4;14;23;32;41;50;59;5;14;23;32;41;50;60;5","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19",-1.9416117685444227
29,5,2,0.26084785538175514,0.26084785538175514,-6.773348154767444,7.817525823490346,-6.6219274086179905,7.813944438394596,28,1,"35;40;41;47;51;55;58;62;2;6;9;13;17;20;24;28","19;17;14;10;6;3;1;0;0;1;3;6;10;11;17;19",-1.6722545914982838
30,6,2,0.24785298137508446,0.24785298137508446,0,7.811988762768697,0.149464003893338,7.811876438201992,46,1,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","20;17;14;10;6;3;0;0;1;1;3;6;10;14;17;19",-2.1161170536789076
31,7,2,0.2528828699124975,0.25237777523382343,16.658863333655066,8.139375887261966,16.81972122489319,8.146751670110337,24,1,"5;60;50;41;32;23;14;5;59;50;41;32;23;14;4;59","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19",-1.9416117685444245
32,8,2,0.2632666365746723,0.26204474425546603,19.966165007839024,8.29419141158045,20.130293417123546,8.323028904997827,23,1,"19;7;60;49;38;27;18;5;59;48;37;26;15;4;57;46","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19",-1.5920834992002515
33,9,2,0.2903931511251629,0.2903930146157325,26.69003689857947,8.167444568367134,26.843621625872377,8.189299226907252,7,1,"44;29;15;1;50;36;22;7;57;42;28;14;63;49;35;20","13;12;10;7;5;2;1;0;0;1;2;5;7;10;12;13",-0.7402726123055743
37,1,3,0.27662190497400435,0.27907474420358713,-36.68206516779758,9.146940973704204,-36.539965210535975,9.118813610965326,22,1,"49;4;23;42;61;16;35;54;10;29;48;3;23;41;60;15","13;12;14;10;9;3;1;0;0;1;3;6;10;10;12;13",-1.162268644139143
38,2,3,0.24934055158660778,0.24934290708478743,-29.999999999999947,9.013069649328123,-29.822609879782505,8.994862396666438,24,1,"8;24;40;56;8;24;40;56;8;24;40;56;8;24;40;56","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19",-2.064141682382923
39,3,3,0.2602059963921467,0.26020533249186834,-23.37488373659307,8.499670160515404,-23.207728200383976,8.479927818994927,35,1,"33;46;58;6;20;32;45;58;6;19;32;45;57;6;18;31","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19",-1.6936539886928177
40,4,3,0.2655780241123627,0.2596896830749666,-9.999241327164578,8.652471998843012,-9.819522598737858,8.6630073979787,28,1,"22;28;33;39;45;50;56;61;3;8;14;19;25;31;36;42","27;24;19;13;8;4;1;0;0;1;4;8;13;19;24;27",-1.516157291019839
41,5,3,0.2685227859365824,0.26461130431343577,-3.358191531378213,8.535455601440967,-3.1809356381446205,8.532676216880322,23,1,"50;52;54;56;57;59;61;63;1;3;5;7;8;10;12;14","27;24;19;13;8;4;1;0;0;1;4;8;13;19;24;27",-1.420377112759759
42,6,3,0.2599119390383609,0.25627748862164107,0,8.504777759873495,0.1757019901946275,8.50787052363355,17,1,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","27;24;19;13;8;4;1;0;0;1;4;8;13;18;24;27",-1.7034754150286204
43,7,3,0.2624429477854344,0.25901380714915684,10.000827001805547,8.569246086092633,10.195217983651462,8.569419943646999,47,1,"42;36;31;25;19;14;8;3;61;56;50;45;39;33;28;22","27;24;19;13;8;4;5;0;0;1;4;8;13;19;24;27",-1.61930185696583
44,8,3,0.2612784557493382,0.2530096835518303,23.31059055738611,8.493774149603809,23.478348715699116,8.509103976063134,42,1,"31;18;6;57;44;32;19;6;58;45;32;20;7;58;46;33","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19",-1.6579279887619656
45,9,3,0.24934055158660784,0.24934290708478743,29.999999999999897,9.01306964932813,30.177707774730436,9.03230376226955,39,1,"56;40;24;8;56;40;24;8;56;40;24;8;56;40;24;8","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19",-2.064141682382921
46,10,3,0.27633015337156647,0.2763314747208357,36.591550805757905,9.146903190602202,36.748979344683114,9.190593842786853,16,1,"16;58;41;22;3;47;29;10;54;35;16;61;42;23;4;49","13;12;10;10;6;3;1;0;0;1;2;6;7;14;12;13",-1.1714344385960551
49,1,4,0.2660614884054699,0.2660614884054699,-36.66485317972227,9.743452182433124,-36.47315972990767,9.70977890566764,23,1,"49;4;23;42;61;16;35;54;10;29;48;3;22;41;60;15","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19",-1.500359674204006
50,2,4,0.255636495579033,0.2527017686532193,-30.000000000000107,9.200231496956384,-29.840466485180798,9.18496928853337,25,0,"8;24;40;56;8;24;40;56;8;24;40;56;8;24;40;56","28;17;14;10;6;3;1;0;0;1;4;6;13;14;17;19",-1.8475428931252544
51,3,4,0.26401541675911794,0.2593995735450203,-23.388920222067483,9.232008389326143,-23.21041793620714,9.214862145388636,13,1,"33;46;58;7;20;32;45;58;6;19;32;46;57;6;18;31","28;24;14;13;6;4;1;0;0;1;3;8;13;19;24;27",-1.5674142491241394
52,4,4,0.2897620348230716,0.28361733234282255,-9.991647939310443,9.230700371655299,-9.78158528939427,9.244796442859531,9,1,"22;28;33;39;45;50;56;61;3;8;14;19;25;31;36;42","31;31;25;16;9;5;2;0;0;2;5;9;16;24;31;31",-0.7591703446499807
55,7,4,0.28708185821649435,0.28129247811599356,9.992386362965474,9.21429954895517,10.201699799970411,9.211037218322325,9,1,"42;36;31;25;19;14;8;3;61;56;50;45;39;33;28;22","31;31;25;16;9;5;2;0;0;2;5;9;16;23;31;31",-0.8398850267965319
56,8,4,0.26775160200535575,0.2603934119961899,23.280824609550418,9.20430730661505,23.45090152763997,9.217304319619306,18,1,"31;18;6;57;44;32;19;6;58;45;32;20;8;58;46;33","27;24;14;13;8;4;1;0;0;1;3;8;13;19;24;27",-1.4453584405473752
57,9,4,0.2532803023996509,0.25135992127685547,29.999999999999897,9.205544011215355,30.213777429537046,9.228272713843374,28,1,"56;40;24;8;56;40;24;8;56;40;24;8;56;40;24;8","19;23;14;10;6;3;1;0;0;1;3;6;10;14;17;23",-1.9279716792599935
58,10,4,0.2635580441779944,0.2635580441779944,36.809521601114724,9.77135209256516,37.004110534520244,9.797863175102378,38,1,"16;60;44;22;3;48;29;10;54;35;16;61;42;23;4;49","19;17;14;10;6;3;1;0;0;1;3;6;10;14;17;19",-1.5824744788457874
59,11,4,0.3004422663357861,0.35001949758467493,43.42705631542698,9.938258824771957,43.60384862550968,9.929971430644045,4,1,"37;15;57;35;13;55;33;11;47;31;9;51;30;7;49;27","13;12;10;7;5;8;1;0;0;1;2;5;7;10;12;13",-0.4447794130395124
60,0,5,0.2766197323179114,0.30847556054405445,-43.36298157578067,10.14914776405709,-43.1546420193526,10.12174389653422,13,0,"27;49;7;31;49;9;31;57;11;33;55;13;33;57;15;38","13;16;10;7;5;0;1;0;0;1;2;5;7;10;12;13",-1.1623368655085144
61,1,5,0.2516773630548678,0.25167689703830576,-39.99888499751525,10.290884971746408,-39.80235986618376,10.248115738014747,36,1,"38;58;15;35;56;13;33;54;10;31;51;8;29;49;6;26","19;17;14;10;6;3;1;0;0;1;3;6;10;14;21;19",-1.9831169001944886
